stock_id,name,buy_date,buy_price,shares,buy_cost,sell_date,sell_price,sell_net,pnl,ret_pct
4198,欣大健康,2020-10-06,13.1,15,983.5,2020-11-03,9.14,682.44,-301.06,-30.61
5603,陸海,2020-11-04,21.85,43,702.68,2021-02-02,15.6,498.47,-204.21,-29.06
3086,華義*,2021-02-03,152.5,46,499.24,2021-03-09,160.5,521.81,22.56,4.52
3219,倚強科,2021-03-10,122.0,4,489.0,2021-03-11,116.0,461.61,-27.39,-5.6
6485,點序,2021-03-12,105.5,4,423.0,2021-05-07,109.0,433.69,10.69,2.53
2014,中鴻,2021-05-10,53.2,9,479.8,2021-05-14,47.2,422.53,-57.27,-11.94
2014,中鴻,2021-05-17,37.25,12,448.0,2021-05-18,39.25,468.59,20.59,4.6
2014,中鴻,2021-05-19,42.65,11,470.15,2021-05-20,43.9,480.45,10.3,2.19
5475,德宏,2021-05-21,17.95,26,467.7,2021-05-24,18.15,469.48,1.78,0.38
5475,德宏,2021-05-25,18.0,26,469.0,2021-05-26,17.7,457.82,-11.18,-2.38
5475,德宏,2021-05-27,18.05,26,470.3,2021-07-23,44.65,1156.42,686.12,145.89
8227,巨有科技,2021-07-26,40.65,28,1139.2,2021-07-27,54.0,1506.46,367.26,32.24
8227,巨有科技,2021-07-28,53.5,28,1499.0,2021-07-29,58.2,1623.71,124.71,8.32
8227,巨有科技,2021-07-30,62.5,26,1626.0,2021-08-02,70.0,1813.54,187.54,11.53
8227,巨有科技,2021-08-03,87.0,21,1828.0,2021-08-04,80.0,1673.96,-154.04,-8.43
8227,巨有科技,2021-08-05,71.8,23,1652.4,2021-08-11,67.2,1539.96,-112.44,-6.8
8227,巨有科技,2021-08-12,68.4,22,1505.8,2021-08-13,74.5,1633.08,127.28,8.45
8227,巨有科技,2021-08-16,69.8,24,1676.2,2021-08-17,64.4,1539.96,-136.24,-8.13
8476,台境*,2021-08-18,39.29,39,1533.19,2021-08-19,40.97,1592.11,58.92,3.84
8227,巨有科技,2021-08-20,58.7,27,1585.9,2021-08-23,58.0,1560.3,-25.6,-1.61
8227,巨有科技,2021-08-24,60.0,26,1561.0,2021-08-25,56.2,1455.82,-105.18,-6.74
8227,巨有科技,2021-08-26,58.2,25,1456.0,2021-08-27,56.2,1399.79,-56.21,-3.86
8227,巨有科技,2021-08-30,60.5,23,1392.5,2021-09-24,82.3,1886.22,493.72,35.46
8121,越峰,2021-09-27,43.98,43,1892.02,2021-09-28,47.29,2026.25,134.23,7.09
8121,越峰,2021-09-29,49.18,41,2017.33,2021-09-30,42.61,1740.59,-276.73,-13.72
5321,美而快,2021-10-01,125.0,21,1727.31,2021-10-05,100.0,1375.9,-351.4,-20.34
1727,中華化,2021-10-20,45.0,31,1396.0,2021-12-01,49.7,1535.08,139.08,9.96
6517,保勝光學,2021-12-02,18.5,85,1573.5,2022-01-24,33.9,2871.71,1298.21,82.5
4304,勝昱,2022-01-25,13.75,208,2861.14,2022-01-26,14.4,2985.02,123.88,4.33
6517,保勝光學,2022-02-07,34.15,87,2972.24,2022-02-08,33.85,2934.94,-37.3,-1.25
4304,勝昱,2022-02-09,15.0,197,2956.18,2022-02-10,15.35,3013.67,57.49,1.94
8440,綠電,2022-02-11,29.87,100,2987.96,2022-02-25,29.19,2908.79,-79.17,-2.65
2924,宏太-KY,2022-03-07,34.15,85,2903.91,2022-03-09,30.1,2549.8,-354.1,-12.19
8440,綠電,2022-03-24,58.15,44,2559.51,2022-04-12,55.65,2440.35,-119.16,-4.66
